Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
KNN-5,OSTEO,duloxetine_v_pain,0.5892857142857143,,0.5714285714285714,0.4642857142857143,0.6964285714285714,0.4642857142857143,0.3392857142857143,0.5714285714285714,0.6785714285714286,0.6607142857142857,-0.1138392857142857,-0.11071428571428565,-0.13095238095238093,0.0357142857142857,0.0357142857142857,0.017857142857142905
KNN-6,OSTEO,duloxetine_v_pain,0.4821428571428572,,0.5714285714285714,0.375,0.6785714285714286,0.4642857142857143,0.3392857142857143,0.5892857142857143,0.6428571428571429,0.6607142857142857,-0.1428571428571428,-0.11785714285714277,-0.13690476190476186,0.017857142857142905,0.017857142857142905,-0.017857142857142794
KNN-7,OSTEO,duloxetine_v_pain,0.5892857142857143,,0.5,0.5892857142857143,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.6607142857142857,0.7321428571428571,0.6607142857142857,-0.0870535714285714,-0.07857142857142863,-0.08333333333333326,0.0714285714285714,0.0714285714285714,0.0714285714285714
KNN-8,OSTEO,duloxetine_v_pain,0.5357142857142857,,0.5535714285714286,0.5357142857142857,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.5892857142857143,0.6785714285714286,0.6607142857142857,-0.109375,-0.10357142857142854,-0.125,0.0357142857142857,0.0357142857142857,0.017857142857142905
KNN-9,OSTEO,duloxetine_v_pain,0.6071428571428571,,0.625,0.6071428571428571,0.6964285714285714,0.6071428571428571,0.3392857142857143,0.5892857142857143,0.7142857142857143,0.6607142857142857,-0.0625,-0.0714285714285714,-0.11309523809523814,0.0535714285714286,0.0535714285714286,0.0535714285714286
KNN-10,OSTEO,duloxetine_v_pain,0.5357142857142857,,0.625,0.4821428571428572,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.5892857142857143,0.6785714285714286,0.6607142857142857,-0.1071428571428571,-0.10357142857142854,-0.125,0.0357142857142857,0.0357142857142857,0.017857142857142905
KNN-20,OSTEO,duloxetine_v_pain,0.5714285714285714,,0.5714285714285714,0.6607142857142857,0.6964285714285714,0.5535714285714286,0.3392857142857143,0.6607142857142857,0.6607142857142857,0.6607142857142857,-0.0714285714285714,-0.07857142857142863,-0.1071428571428572,0.0357142857142857,0.0357142857142857,0.0
Logistic Regression,PSYCH_VIGILANCE_SES-1,high_v_low,0.6818181818181818,0.3977272727272727,0.5795454545454546,0.6136363636363636,0.5795454545454546,0.6136363636363636,0.5454545454545454,0.5340909090909091,0.5454545454545454,0.5454545454545454,0.020202020202020332,0.0181818181818183,-0.0037878787878787845,0.13636363636363635,0.06818181818181823,0.0
LDA,PSYCH_VIGILANCE_SES-1,high_v_low,0.4545454545454545,0.4886363636363637,0.5454545454545454,0.5113636363636364,0.5454545454545454,0.6818181818181818,0.5454545454545454,0.4659090909090909,0.4659090909090909,0.5454545454545454,-0.022727272727272707,-0.00454545454545463,-0.05303030303030304,0.13636363636363635,0.13636363636363635,0.0
SVM,PSYCH_VIGILANCE_SES-1,high_v_low,0.6704545454545454,0.6022727272727273,0.5909090909090909,0.6136363636363636,0.6477272727272727,0.6590909090909091,0.5454545454545454,0.5,0.4772727272727273,0.5454545454545454,0.04419191919191934,0.020454545454545392,-0.037878787878787845,0.125,0.11363636363636365,0.0
KNN-1,PSYCH_VIGILANCE_SES-1,high_v_low,0.6818181818181818,0.5795454545454546,0.5,0.5340909090909091,0.4659090909090909,0.5,0.4545454545454545,0.4659090909090909,0.4204545454545455,0.5454545454545454,-0.03409090909090906,-0.0840909090909091,-0.09848484848484845,0.13636363636363635,-0.045454545454545414,-0.07954545454545453
